Flight_no,Departure_airport,Arrival_Airport,Aircraft,Flight_time,standard_Departure,Standard_arrival,Latitude,Longitude,Airline,time_block
HV9513,Munich (MUC),Berlin (SXF),B737,2880,06:40,07:50,52.38,13.5,Transavia,8
FR182,Cologne (CGN),Berlin (SXF),B738,2820,06:45,08:00,52.38,13.5,Ryanair,8
U24654,Venice (VCE),Berlin (SXF),A320,4500,07:00,08:40,52.38,13.5,EasyJet,8
U24261,Paris (ORY),Berlin (SXF),A320,4920,06:55,08:45,52.38,13.5,EasyJet,8
U22101,London (LTN),Berlin (SXF),A320,5160,05:55,08:50,52.38,13.5,EasyJet,8
U24728,London (LTN),Berlin (SXF),A320,5640,06:00,08:55,52.38,13.5,EasyJet,8
U21591,Geneva (GVA),Berlin (SXF),A319,4980,09:30,11:20,52.38,13.5,EasyJet,12
SU2684,Moscow (SVO),Berlin (SXF),A320,8100,07:15,09:00,52.38,13.5,Aeroflot,8
FR2526,Madrid (MAD),Berlin (SXF),B738,8640,06:15,09:10,52.38,13.5,Ryanair,10
DY1102,Oslo (OSL),Berlin (SXF),B738,5220,07:40,09:15,52.38,13.5,Norwegian   ,10
FR8542,London (STN),Berlin (SXF),B738,4620,06:30,09:30,52.38,13.5,Ryanair,8
U21897,Manchester (MAN),Berlin (SXF),A320,5880,06:30,09:35,52.38,13.5,EasyJet,12
U24724,Vienna (VIE),Berlin (SXF),A319,3300,08:10,09:40,52.38,13.5,EasyJet,10
U28207,London (LGW),Berlin (SXF),A319,5460,06:40,09:45,52.38,13.5,EasyJet,10
LY2371,Tel Aviv (TLV),Berlin (SXF),B738,13620,06:20,09:50,52.38,13.5,UP,10
U24632,Basel (BSL),Berlin (SXF),A319,3840,08:15,09:55,52.38,13.5,EasyJet,10
SU6641,St. Petersburg (LED),Berlin (SXF),A320,6900,08:30,09:55,52.38,13.5,Rossiya,10
FR5201,Seville (SVQ),Berlin (SXF),B738,10320,06:40,10:05,52.38,13.5,Ryanair,10
FR1477,Belfast (BFS),Berlin (SXF),B738,6600,06:55,10:15,52.38,13.5,Ryanair,10
ST3329,Tehran (IKA),Berlin (SXF),B737,18060,07:25,10:20,52.38,13.5,Germania,10
U24562,Amsterdam (AMS),Berlin (SXF),A319,3540,08:55,10:25,52.38,13.5,EasyJet,12
FR8556,Dublin (DUB),Berlin (SXF),B738,7080,07:20,10:35,52.38,13.5,Ryanair,10
FR145,London (STN),Berlin (SXF),B738,4860,07:50,10:40,52.38,13.5,Ryanair,12
FR197,Budapest (BUD),Berlin (SXF),B738,4140,09:10,10:40,52.38,13.5,Ryanair,10
